,index,Ticker,Stock Price,4 Week Change,4 Week Percentile,12 Week Change,12 Week Percentile,26 Week Change,26 Week Percentile,52 Week Change,52 Week Percentile,HQM Score
0,0,MMM,179.3,-0.13584758840686154,N/A,-0.14234354448125697,N/A,0.03134460959402151,N/A,0.11339553484096639,N/A,N/A
1,1,ABT,125.4,-0.10400177530475534,N/A,0.03753108443573313,N/A,0.14616776440194854,N/A,0.39091117102582584,N/A,N/A
2,2,ABBV,106.0,-0.24620613128662938,N/A,-0.045526910354415036,N/A,0.0029714397678228697,N/A,0.11440091685514799,N/A,N/A
3,3,ABMD,322.0,-0.1280937562157913,N/A,0.09632319291428615,N/A,0.8143146649507489,N/A,0.9750713803203201,N/A,N/A
4,4,ACN,257.6,-0.2933613921951185,N/A,-0.15853197461861943,N/A,0.11150073297831739,N/A,0.18882655699931875,N/A,N/A
5,5,ATVI,102.2,-0.1314062476158142,N/A,0.13999998569488525,N/A,0.2984374761581421,N/A,0.5750000476837158,N/A,N/A
6,6,ADBE,488.3,-0.222582879474005,N/A,-0.062196478092950896,N/A,0.2568608785432414,N/A,0.26430231665756815,N/A,N/A
7,7,AMD,88.6,-0.3169198774367819,N/A,-0.04819280800016679,N/A,0.4506722746113082,N/A,0.5641697418375171,N/A,N/A
8,8,AAP,167.5,-0.3771757402810089,N/A,-0.1498455861477436,N/A,0.10289166270150185,N/A,0.16493543447978803,N/A,N/A
9,9,AES,27.8,-0.5403845783521424,N/A,-0.4317307630586904,N/A,-0.13124998280635183,N/A,0.36105771655514485,N/A,N/A
10,10,AFL,47.2,-0.5092250993588212,N/A,-0.3637600067270247,N/A,-0.2740337958903658,N/A,-0.06622644661591023,N/A,N/A
11,11,A,127.6,-0.18342416721636182,N/A,-0.03201324478869091,N/A,0.15722080521686332,N/A,0.5042685351598047,N/A,N/A
12,12,APD,262.6,-0.21076737611075802,N/A,-0.11660140756059274,N/A,0.12627251672163775,N/A,0.03320286291692372,N/A,N/A
13,13,AKAM,99.7,-0.0430669428797682,N/A,-0.04178572792708744,N/A,0.0926382321158483,N/A,-0.025721893948484932,N/A,N/A
14,14,ALK,59.9,-0.6155140923180076,N/A,-0.6000612125834581,N/A,-0.42594859076819924,N/A,-0.047123650585873526,N/A,N/A
15,15,ALB,141.4,-0.2721874544954455,N/A,-0.3668751921303412,N/A,-0.02470569676573851,N/A,0.6559219829469154,N/A,N/A
16,16,ARE,168.3,-0.2120080844811641,N/A,-0.1670815685007661,N/A,0.014758211682957963,N/A,-0.014698884006615036,N/A,N/A
17,17,ALXN,157.5,-0.19543593462649114,N/A,-0.015798739341894415,N/A,-0.0010727580394911565,N/A,0.5165788289288722,N/A,N/A
18,18,ALGN,594.9,-0.46508128837516427,N/A,-0.24367865344107573,N/A,0.08290211438027666,N/A,1.1991633508613329,N/A,N/A
19,19,ALLE,108.3,-0.25544862717909245,N/A,-0.27939934311415593,N/A,-0.20754719530896548,N/A,-0.16010787499192114,N/A,N/A
20,20,LNT,48.6,-0.17794189236905572,N/A,-0.2288064653003429,N/A,-0.08259187836411538,N/A,-0.2004364392794583,N/A,N/A
21,21,ALL,105.0,-0.3880608811598509,N/A,-0.2392677882276328,N/A,-0.23052000077369206,N/A,-0.16207680450847411,N/A,N/A
22,22,GOOGL,2105.8,-0.2806874478864154,N/A,-0.1055577201653601,N/A,0.04493110344726584,N/A,0.376943863862298,N/A,N/A
23,23,GOOG,2117.2,-0.2775417243421378,N/A,-0.10672200831652486,N/A,0.04614163661779646,N/A,0.38401334439201446,N/A,N/A
24,24,MO,43.6,-0.15891135777513735,N/A,-0.20434594145444623,N/A,-0.03336260781271076,N/A,-0.03863042324801702,N/A,N/A
25,25,AMZN,3328.2,-0.15006273884245305,N/A,0.10949328378026868,N/A,0.53613850305326,N/A,0.5094049300733476,N/A,N/A
26,26,AMCR,11.4,-0.3777994565078101,N/A,-0.1148977850613193,N/A,0.05842253174797444,N/A,0.11197658882876912,N/A,N/A
27,27,AEE,74.0,-0.1110203330569912,N/A,-0.1977586004808852,N/A,-0.0514826462009607,N/A,-0.15561523769757957,N/A,N/A
28,28,AAL,17.7,-0.59137146527525,N/A,-0.679059994911507,N/A,-0.5285864793937107,N/A,-0.34479129585372115,N/A,N/A
29,29,AEP,80.4,-0.13772220016005485,N/A,-0.23715568891057265,N/A,-0.21097869753459067,N/A,-0.22758347379800703,N/A,N/A
30,30,AXP,128.4,-0.4600234367310486,N/A,-0.386366990518391,N/A,-0.27273392517652123,N/A,-0.03565672171546414,N/A,N/A
31,31,AIG,42.1,-0.6228915466996702,N/A,-0.48273091117416,N/A,-0.40662651225364277,N/A,-0.14497986981158076,N/A,N/A
32,32,AMT,228.2,-0.1228084136745728,N/A,-0.07239233519826224,N/A,-0.008483440662855524,N/A,-0.08552152679617632,N/A,N/A
33,33,AWK,160.1,-0.052585586745991626,N/A,-0.1531682879916889,N/A,0.04792426573052757,N/A,0.1410050996361118,N/A,N/A
34,34,AMP,214.2,-0.4774649286431717,N/A,-0.317827745151395,N/A,-0.12241264105592314,N/A,0.24910974832167754,N/A,N/A
35,35,ABC,105.2,-0.11975549264249098,N/A,-0.12949342337172928,N/A,0.01077386230890947,N/A,0.09675752704234303,N/A,N/A
36,36,AME,118.9,-0.3470910041436223,N/A,-0.21680758219904106,N/A,0.00248632513587606,N/A,0.20198902975805222,N/A,N/A
37,37,AMGN,232.5,-0.0776987240220558,N/A,0.0713063670721733,N/A,0.060457405111508884,N/A,0.04299092049157013,N/A,N/A
38,38,APH,130.7,-0.3403721505542695,N/A,-0.19699161590518746,N/A,0.04859705872162067,N/A,0.27692598442620675,N/A,N/A
39,39,ADI,158.0,-0.3397832088148387,N/A,-0.1530309491848646,N/A,-0.05877157378938265,N/A,0.31513447642140424,N/A,N/A
40,40,ANSS,389.8,-0.24607167385943376,N/A,-0.14240526726650735,N/A,0.10621730546652029,N/A,0.3447044755137477,N/A,N/A
41,41,ANTM,296.3,-0.2959107130880479,N/A,-0.0702864648925344,N/A,-0.050282365981279144,N/A,0.0035041123043543353,N/A,N/A
