,hour,runLength
0,1,21
1,4,11
2,4,7
3,6,17
4,7,9
5,10,15
6,11,6
7,12,13
8,13,7
9,15,14
10,16,6
11,16,6
12,18,19
13,19,17
14,20,10
15,22,11
16,22,6
17,23,6
18,0,6
19,2,19
20,3,7
21,6,33
22,7,7
23,8,6
24,11,26
25,12,10
26,13,6
27,14,10
28,16,20
29,20,6
30,21,8
31,22,15
32,23,10
33,1,16
34,1,6
35,4,16
36,5,13
37,6,10
38,10,37
39,11,6
40,14,29
41,15,12
42,16,9
43,17,7
44,18,11
45,18,7
46,19,8
47,20,6
48,21,7
49,21,6
50,23,9
51,0,6
52,1,10
53,2,8
54,4,13
55,5,17
56,6,13
57,9,22
58,11,19
59,12,13
60,13,10
61,14,8
62,15,11
63,17,9
64,17,7
65,18,7
66,19,6
67,20,8
68,20,6
69,21,7
70,23,11
71,0,7
72,0,7
73,1,12
74,3,18
75,4,7
76,5,7
77,6,13
78,8,10
79,9,11
80,11,17
81,12,7
82,13,8
83,14,9
84,15,15
85,16,7
86,17,13
87,19,14
88,20,11
89,23,19
90,0,8
91,1,7
92,1,7
93,2,12
94,4,15
95,5,9
96,6,13
97,7,9
98,7,9
99,9,6
100,10,10
101,12,10
102,12,6
103,13,10
104,14,9
105,16,12
106,17,6
107,18,7
108,19,10
109,20,15
110,21,6
111,22,13
112,0,23
113,2,20
114,3,10
115,4,7
116,6,23
117,7,7
118,7,7
119,8,7
120,10,19
121,11,13
122,13,18
123,13,6
124,14,10
125,16,7
126,17,11
127,18,8
128,19,9
129,21,26
130,23,11
131,1,15
132,1,6
133,4,16
134,5,6
135,7,23
136,7,7
137,8,8
138,10,7
139,10,7
140,13,8
141,15,23
142,18,21
143,19,7
144,20,6
145,20,9
146,21,12
147,23,10
148,0,7
149,1,7
150,1,9
151,4,9
152,5,10
153,7,19
154,8,8
155,10,19
156,12,22
157,13,6
158,15,20
159,19,22
160,19,10
161,21,14
162,23,23
163,0,10
164,2,12
165,3,10
166,5,14
167,5,7
168,7,23
169,10,25
170,12,18
171,13,14
172,13,6
173,14,8
174,16,17
175,17,16
176,18,8
177,19,10
178,22,14
179,0,15
180,1,7
181,3,12
182,4,14
183,5,11
184,6,9
185,7,12
186,8,9
187,10,17
188,11,7
189,12,8
190,12,6
191,14,15
192,15,16
193,16,7
194,20,28
195,21,8
196,22,7
197,0,20
198,1,11
199,3,8
200,5,14
201,6,8
202,7,11
203,7,6
204,8,9
205,12,46
206,13,9
207,14,9
208,15,16
209,16,9
210,17,8
211,18,7
212,19,12
213,22,36
214,23,8
215,0,7
216,1,8
217,2,17
218,3,7
219,5,18
220,7,19
221,9,18
222,11,22
223,13,9
224,15,12
225,17,9
226,18,9
227,19,8
228,20,7
229,20,7
230,22,17
231,23,8
232,1,11
233,2,7
234,3,7
235,4,11
236,5,7
237,6,9
238,7,6
239,8,6
240,9,6
241,9,11
242,11,11
243,12,18
244,14,16
245,15,6
246,16,9
247,18,7
248,19,6
249,20,11
250,21,6
251,23,20
252,1,11
253,2,14
254,3,10
255,5,14
256,6,6
257,7,7
258,9,6
259,10,10
260,11,7
261,12,13
262,13,8
263,15,23
264,16,6
265,17,20
266,18,8
267,20,24
268,21,14
269,23,15
270,0,8
271,1,9
272,2,9
273,2,6
274,4,7
275,5,6
276,6,11
277,7,11
278,8,7
279,9,17
280,11,9
281,12,9
282,13,11
283,14,9
284,16,10
285,17,14
286,19,12
287,21,9
288,21,8
289,22,8
290,23,8
291,0,8
292,1,7
293,2,7
294,4,22
295,6,10
296,7,6
297,9,9
298,10,19
299,11,7
300,12,8
301,14,8
302,15,13
303,16,14
304,18,11
305,19,7
306,22,26
307,23,12
308,2,16
309,3,11
310,3,7
311,5,18
312,5,10
313,7,13
314,8,6
315,9,15
316,10,7
317,11,7
318,13,8
319,13,8
320,14,9
321,16,16
322,17,15
323,19,23
324,21,19
325,22,14
326,0,11
327,1,11
328,2,7
329,2,7
330,4,7
331,5,12
332,6,6
333,7,12
334,9,9
335,10,13
336,11,8
337,12,10
338,14,15
339,15,13
340,16,12
341,17,12
342,18,6
343,20,13
344,21,13
345,22,7
346,22,7
347,0,19
348,1,14
349,2,9
350,4,15
351,7,16
352,9,14
353,10,6
354,12,14
355,13,10
356,14,8
357,16,24
358,20,45
359,20,7
360,23,34
