,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,-8313,5,6,1.20282,1.20278,0.33252000000033255,3.325518365182578e-05,5,6,1
1,8314,6,8,1.20278,1.20272,-0.49883999999957584,-4.9884434393576704e-05,6,8,2
2,-8314,8,11,1.20272,1.20277,-0.4156999999990312,-4.157243581204284e-05,8,11,3
3,8313,11,16,1.20277,1.20257,-1.662599999999817,-0.0001662828304662689,11,16,5
4,-8313,16,20,1.20257,1.20255,0.16625999999924335,1.663104850435637e-05,16,20,4
5,8313,20,21,1.20255,1.20264,0.7481699999993638,7.484096295362619e-05,20,21,1
6,-8313,21,24,1.20264,1.20272,-0.6650400000006651,-6.652032195852975e-05,21,24,3
7,8312,24,25,1.20272,1.20291,1.5792799999992724,0.00015797525608607366,24,25,1
8,-8312,25,27,1.20291,1.20263,2.3273599999986363,0.000232768868826283,25,27,2
9,8316,27,29,1.20263,1.20282,1.580039999999272,0.0001579870783199322,27,29,2
10,-8316,29,30,1.20282,1.20275,0.5821200000001205,5.819657139061185e-05,29,30,1
11,8317,30,31,1.20275,1.20292,1.413890000000029,0.00014134275618382652,30,31,1
12,-8317,31,36,1.20292,1.20273,1.580229999999272,0.00015794899078902525,31,36,5
13,8320,36,39,1.20273,1.20269,-0.33280000000033283,-3.3257672129249904e-05,36,39,3
14,-8320,39,44,1.20269,1.20298,-2.41279999999918,-0.00024112614223104067,39,44,5
15,8316,44,45,1.20298,1.20313,1.2474000000007859,0.0001246903522917897,44,45,1
16,-8316,45,46,1.20313,1.20307,0.49895999999957574,4.986992261846179e-05,45,46,1
17,8317,46,47,1.20307,1.20328,1.746569999998515,0.0001745534341308641,46,47,1
18,-8317,47,50,1.20328,1.20289,3.2436299999990887,0.0003241140881589111,47,50,3
19,8322,50,51,1.20289,1.20314,2.080500000000695,0.0002078328026668963,50,51,1
20,-8322,51,53,1.20314,1.20318,-0.33287999999848505,-3.3246338746684145e-05,51,53,2
21,8321,53,54,1.20318,1.20326,0.6656800000006657,6.649046692941418e-05,53,54,1
22,-8321,54,56,1.20326,1.20317,0.7488899999993632,7.479680202115979e-05,54,56,2
23,8323,56,57,1.20317,1.20321,0.3329199999984849,3.3245509778234705e-05,56,57,1
24,-8323,57,58,1.20321,1.20289,2.6633599999989674,0.0002659552364091544,57,58,1
25,8327,58,59,1.20289,1.20282,-0.5828900000001207,-5.819318474675761e-05,58,59,1
26,-8327,59,60,1.20282,1.20278,0.3330800000003331,3.325518365182578e-05,59,60,1
27,8328,60,65,1.20278,1.2024,-3.164640000000391,-0.00031593475115987424,60,65,5
28,-8328,65,66,1.2024,1.20226,1.1659199999983922,0.0001164337990683384,65,66,1
29,8330,66,70,1.20226,1.2023,0.3331999999984836,3.3270673564622655e-05,66,70,4
30,-8330,70,71,1.2023,1.20199,2.5823000000002705,0.00025783914164523303,70,71,1
31,8334,71,73,1.20199,1.20214,1.2501000000007876,0.00012479305152290898,71,73,2
32,-8334,73,78,1.20214,1.20218,-0.3333600000003334,-3.327399470953729e-05,73,78,5
33,8333,78,79,1.20218,1.20222,0.33332000000033335,3.327288758758762e-05,78,79,1
34,-8333,79,80,1.20222,1.20215,0.5833100000001208,5.822561594381881e-05,79,80,1
35,8334,80,81,1.20215,1.20229,1.1667600000002416,0.00011645801272730516,80,81,1
36,-8334,81,84,1.20229,1.20227,0.16668000000109195,1.6634921691238702e-05,81,84,3
