,hour,runLengthCount
0,0,67
1,7,57
2,19,72
3,13,62
4,22,53
5,17,51
6,15,53
7,14,56
8,15,91
9,19,80
10,22,60
11,1,91
12,14,67
13,1,54
14,13,53
15,9,57
16,7,52
17,10,54
18,2,59
19,18,62
20,21,62
21,13,52
22,16,59
23,15,61
24,20,56
25,6,58
26,9,55
27,0,82
28,21,58
29,21,81
30,8,52
31,5,66
32,3,83
33,22,87
34,22,73
35,18,52
36,21,55
37,3,54
38,8,66
39,20,54
40,21,60
41,8,77
42,12,54
43,14,52
44,21,64
45,0,67
46,14,52
47,22,61
48,4,66
49,15,78
50,2,83
51,13,51
52,22,73
53,1,64
54,3,61
55,9,57
56,22,56
57,0,65
58,9,57
59,23,53
60,19,57
61,0,53
62,8,63
63,20,52
64,13,51
65,15,61
66,14,58
67,20,54
68,14,70
69,15,70
70,23,85
71,4,54
72,1,59
73,15,58
74,22,53
75,19,52
76,6,69
77,20,52
78,12,65
79,9,65
80,9,75
81,22,53
82,23,88
83,12,60
84,1,78
85,21,58
86,13,51
87,0,70
88,14,58
89,17,54
90,1,61
91,18,61
92,6,60
93,8,53
94,21,69
95,6,56
96,14,53
97,3,58
98,13,52
99,0,52
100,8,61
101,0,64
102,13,53
103,0,64
104,21,52
105,18,55
106,0,115
107,8,69
108,14,105
109,2,57
110,23,59
111,1,62
112,5,56
113,22,62
114,14,57
115,13,52
116,8,58
117,13,60
118,14,56
119,21,54
